,Unnamed: 0,Movie Name,Director,Released,Actors,Plot,RT Score,imdb_id
0,0,Sing Sing,Greg Kwedar,2024-08-02,"Colman Domingo, Clarence Maclin, Sean San Jose","Divine G, imprisoned at Sing Sing for a crime he didn't commit, finds purpose by acting in a theatre group alongside other incarcerated men in this story of resilience, humanity, and the transformative power of art.",98%,tt28479262
1,1,Dune: Part Two,Denis Villeneuve,2024-03-01,"Timothée Chalamet, Zendaya, Rebecca Ferguson",Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,92%,tt15239678
2,2,Blitz,Steve McQueen,2024-11-01,"Saoirse Ronan, Harris Dickinson, Benjamin Clémentine",Follow the stories of a group of Londoners during the events of the British capital bombing in World War II.,77%,tt15939198
3,3,Conclave,Edward Berger,2024-10-25,"Ralph Fiennes, Stanley Tucci, John Lithgow","When Cardinal Lawrence is tasked with leading one of the world's most secretive and ancient events, selecting a new Pope, he finds himself at the center of a conspiracy that could shake the very foundation of The Church.",93%,tt20215234
4,4,Emilia Perez,Jacques Audiard,2024-11-13,"Zoe Saldana, Karla Sofía Gascón, Selena Gomez","In Mexico, a lawyer receives an unexpected offer to help a feared cartel boss retire from his business and disappear forever by becoming the woman he's always dreamed of being.",,tt20221436
5,5,Anora,Sean Baker,2024-10-17,"Mikey Madison, Paul Weissman, Lindsey Normington","Anora, a young sex worker from Brooklyn, meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as the parents set out for New York to get the marriage annulled.",98%,tt28607951
6,6,Joker: Folie à Deux,Todd Phillips,2024-10-04,"Joaquin Phoenix, Zazie Beetz, Lady Gaga","Arthur Fleck is institutionalized at Arkham, awaiting trial for his crimes as Joker. While struggling with his dual identity, Arthur not only stumbles upon true love, but also finds the music that's always been inside him.",33%,tt11315808
7,7,Gladiator II,Ridley Scott,2024-11-22,"Pedro Pascal, Denzel Washington, Connie Nielsen","After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.",,tt9218128
8,8,Nickel Boys,RaMell Ross,2024-11-08,"Ethan Herisse, Brandon Wilson, Aunjanue Ellis-Taylor","Based on the Pulitzer Prize winning novel by Colson Whitehead, Nickel Boys chronicles the powerful friendship between two young African American men navigating the harrowing trials of reform school together in Florida.",81%,tt23055660
9,9,Wicked,Jon M. Chu,2024-11-22,"Cynthia Erivo, Ariana Grande, Jonathan Bailey","After two decades as one of the most beloved and enduring musicals on the stage, Wicked makes its long-awaited journey to the big screen as a spectacular, generation-defining two-part cinematic event this holiday season.",,tt1262426
10,10,The Piano Lesson,Malcolm Washington,2024-11-08,"Samuel L. Jackson, John David Washington, Danielle Deadwyler","Follows the lives of the Charles family as they deal with themes of family legacy and more, in deciding what to do with an heirloom, the family piano.",93%,tt15507512
11,11,A Real Pain,Jesse Eisenberg,2024-11-01,"Kieran Culkin, Jesse Eisenberg, Olha Bosova",Mismatched cousins David and Benji reunite for a tour through Poland to honor their beloved grandmother. The adventure takes a turn when the odd-couple's old tensions resurface against the backdrop of their family history.,92%,tt21823606
12,12,A Complete Unknown,James Mangold,2024-12-25,"Timothée Chalamet, Elle Fanning, Scoot McNairy","At the Newport Folk Festival in 1965, a young Bob Dylan shakes up his act on the folk music scene by going electric and siring rock as the voice of a generation - defining one of the most transformative moments in 20th century music.",,tt11563598
13,13,Hard Truths,Mike Leigh,2025-01-31,"Marianne Jean-Baptiste, Bryony Miller, Sophia Brown",Ongoing exploration of the contemporary world with a tragicomic study of human strengths and weaknesses.,94%,tt11891850
14,14,The Room Next Door,Pedro Almodóvar,2024-10-18,"Julianne Moore, Tilda Swinton, John Turturro","Ingrid and Martha were close friends in their youth, when they worked together at the same magazine. After years of being out of touch, they meet again in an extreme but strangely sweet situation.",90%,tt29439114
15,15,Nosferatu,Robert Eggers,2024-12-25,"Aaron Taylor-Johnson, Bill Skarsgård, Emma Corrin","A gothic tale of obsession between a haunted young woman, and the terrifying vampire infatuated with her causing untold horror in its wake.",,tt5040012
16,16,Civil War,Alex Garland,2024-04-12,"Kirsten Dunst, Wagner Moura, Cailee Spaeny","A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.",81%,tt17279496
17,17,Challengers,Luca Guadagnino,2024-04-26,"Mike Faist, Josh O'Connor, Zendaya","Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend, and Tashi's ex-boyfriend.",88%,tt16426418
18,18,Unstoppable,,,,"Based on the life of Anthony Robles, a boy born with one leg, who overcame impossible odds on his way to glory as an NCAA Wrestling Champion in 2011.",,tt3864060
19,19,The Wild Robot,Chris Sanders,2024-09-27,"Lupita Nyong'o, Pedro Pascal, Kit Connor","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",98%,tt29623480
20,20,Young Woman and the Sea,Joachim Rønning,2024-07-19,"Daisy Ridley, Tilda Cobham-Hervey, Stephen Graham","The story of competitive swimmer Gertrude Ederle, who, in 1926, was the first woman to ever swim across the English Channel.",89%,tt5177114
21,21,Saturday Night,Jason Reitman,2024-10-11,"Gabriel LaBelle, Rachel Sennott, Cory Michael Smith","At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1...",80%,tt27657135
22,22,The Brutalist,Brady Corbet,2025-01-23,"Adrien Brody, Felicity Jones, Guy Pearce","When visionary architect László Toth and his wife Erzsébet flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern America, their lives are changed forever by a mysterious and wealthy client.",97%,tt8999762
23,23,I'm Still Here,Walter Salles,,"Fernanda Montenegro, Fernanda Torres, Maeve Jinkings","Based on Marcelo Rubens Paiva's best-selling memoir in which his mother is forced into activism when her husband was captured by a military regime in Brazil, 1964.",,tt14961016
24,24,September 5,Tim Fehlbaum,2024-11-07,"Peter Sarsgaard, John Magaro, Ben Chaplin","During the 1972 Munich Olympics, an American sports broadcasting crew finds itself thrust into covering the hostage crisis involving Israeli athletes.",92%,tt28082769
